Management Clienti Admin,2025-06-03 01:44:14
Autentificare Client/Angajat,2025-06-03 01:53:36
Login Client,2025-06-03 01:54:03
View Profile,2025-06-03 01:54:06
Logout,2025-06-03 01:54:25
Login Angajat,2025-06-03 01:55:12
Test Angajati,2025-06-03 02:30:40
Autentificare Client/Angajat,2025-06-03 02:31:21
Login Angajat,2025-06-03 02:31:55
Autentificare Client/Angajat,2025-06-03 02:40:26
Login Angajat,2025-06-03 02:40:39
Logout,2025-06-03 02:41:37
Autentificare Client/Angajat,2025-06-03 02:41:48
Login Angajat,2025-06-03 02:42:04
Autentificare Client/Angajat,2025-06-03 02:53:18
Login Angajat,2025-06-03 02:53:32
Logout,2025-06-03 02:57:49
Autentificare Client/Angajat,2025-06-03 03:07:00
Login Angajat,2025-06-03 03:07:12
Test Creare Rezervare,2025-06-03 03:10:29
Autentificare Client/Angajat,2025-06-03 03:11:22
Login Client,2025-06-03 03:11:54
Logout,2025-06-03 03:12:15
Login Angajat,2025-06-03 03:12:30
Logout,2025-06-03 03:13:26
Login Client,2025-06-03 03:13:44
Autentificare Client/Angajat,2025-06-03 03:21:27
Login Angajat,2025-06-03 03:21:43
Create Reservation,2025-06-03 03:30:24
Logout,2025-06-03 03:31:14
Login Client,2025-06-03 03:31:33
Logout,2025-06-03 03:31:51
Login Angajat,2025-06-03 03:32:18
Create Reservation,2025-06-03 03:32:28
Logout,2025-06-03 03:32:56
Login Client,2025-06-03 03:33:14
Autentificare Client/Angajat,2025-06-03 03:38:28
Login Angajat,2025-06-03 03:38:43
Create Reservation,2025-06-03 03:38:54
Logout,2025-06-03 03:39:28
Login Client,2025-06-03 03:39:45
Autentificare Client/Angajat,2025-06-03 03:42:55
Login Client,2025-06-03 03:43:20
Logout,2025-06-03 03:43:40
Login Angajat,2025-06-03 03:43:51
Create Reservation,2025-06-03 03:43:57
Logout,2025-06-03 03:44:38
Login Client,2025-06-03 03:44:57
Autentificare Client/Angajat,2025-06-03 03:51:08
Login Client,2025-06-03 03:51:37
Logout,2025-06-03 03:52:43
Login Angajat,2025-06-03 03:53:25
Autentificare Client/Angajat,2025-06-03 03:56:09
Login Angajat,2025-06-03 03:56:21
Autentificare Client/Angajat,2025-06-03 03:58:00
Login Angajat,2025-06-03 03:58:15
Autentificare Client/Angajat,2025-06-03 04:00:41
Login Angajat,2025-06-03 04:00:56
Autentificare Client/Angajat,2025-06-03 04:02:22
Login Angajat,2025-06-03 04:02:34
Rapoarte si Statistici,2025-06-03 04:02:45
Generate Report,2025-06-03 04:02:49
